2003,430347770732
2004,591016690743
2005,764017107992
2006,989930542279
2007,1299705764824
2008,1660846387625
2009,1222644282202
2010,1524917468442
2011,2031771419409
2012,2170145829224
2013,2230628062254
2014,2030972571014
2015,1326015096948
